data_source,ticker,date_kst,open,high,low,close,volume,loaded_date_kst
source1,140570,2025-04-22,11285,11300,11185,11185,115,2025-04-22
source1,272570,2025-04-17,111415,111500,111350,111350,49,2025-04-17
source1,290550,2025-04-17,7390,7390,6950,7090,19930,2025-04-18
source1,187790,2025-04-18,1025,1025,1025,1025,0,2025-04-18
source1,204210,2025-04-21,2035,2035,2035,2035,0,2025-04-21
source1,337150,2025-04-15,11925,11925,11925,11925,1,2025-04-15
source1,337160,2025-04-18,13000,13130,13000,13080,25794,2025-04-18
source1,474490,2025-04-22,2000,2000,1992,1999,1707,2025-04-22
source1,000230,2025-04-16,6190,6190,6060,6080,14940,2025-04-16
source1,004150,2025-04-17,2400,2415,2375,2400,10138,2025-04-17
source1,004410,2025-04-21,166,168,160,162,7446912,2025-04-21
source1,008370,2025-04-16,4055,4055,3990,4010,4534,2025-04-16
source1,013520,2025-04-22,1720,1739,1707,1739,55195,2025-04-22
source1,027050,2025-04-18,2360,2360,2315,2350,95273,2025-04-18
source1,034950,2025-04-14,88700,88900,87700,87800,1315,2025-04-14
source1,047820,2025-04-14,4840,5130,4800,5030,178501,2025-04-14
source1,048910,2025-04-14,9700,9770,9560,9620,103548,2025-04-14
source1,065060,2025-04-22,128,128,128,128,0,2025-04-22
source1,066590,2025-04-22,3050,3090,3020,3085,42703,2025-04-22
source1,086820,2025-04-18,26250,27450,26100,26500,48262,2025-04-18
source1,089030,2025-04-21,31550,32650,30850,30900,540085,2025-04-22
source1,098560,2025-04-18,7560,7640,7535,7555,14656,2025-04-18
source1,000270,2025-04-16,85300,86300,84500,85000,767056,2025-04-17
source1,019660,2025-04-14,1191,1191,1191,1191,0,2025-04-14
source1,024810,2025-04-16,899,899,899,899,0,2025-04-16
source1,034310,2025-04-18,10900,10940,10800,10800,13235,2025-04-18
source1,047770,2025-04-16,1754,1794,1713,1780,320716,2025-04-16
source1,087260,2025-04-15,1916,1943,1913,1933,65537,2025-04-15
source1,093370,2025-04-22,4295,4360,4180,4250,460756,2025-04-22
source1,143240,2025-04-14,17040,17040,16250,16620,59528,2025-04-14
source1,175330,2025-04-21,17430,17760,17430,17750,229724,2025-04-22
source1,187270,2025-04-16,3425,3455,3390,3405,38100,2025-04-16
source1,191420,2025-04-17,15310,15500,15310,15400,1568,2025-04-17
source1,228820,2025-04-17,7455,7460,7405,7460,9609,2025-04-17
source1,235980,2025-04-21,3200,3235,3150,3180,55375,2025-04-21
source1,238090,2025-04-18,2000,2000,1971,1983,19710,2025-04-18
source1,263700,2025-04-18,3095,3940,2850,3520,8679428,2025-04-18
source1,000180,2025-04-14,1188,1196,1178,1190,68014,2025-04-14
source1,000970,2025-04-16,6950,7310,6810,7190,3027678,2025-04-16
source1,0023B0,2025-04-21,9115,9240,9025,9170,103497,2025-04-21
source1,003495,2025-04-17,21500,21550,21100,21400,1440,2025-04-17
source1,009680,2025-04-18,9340,9400,9280,9360,28274,2025-04-18
source1,011080,2025-04-18,2190,2405,2000,2145,10268134,2025-04-18
source1,025000,2025-04-15,43150,43450,43150,43400,86227,2025-04-15
source1,053300,2025-04-15,4200,4335,4190,4260,115680,2025-04-15
source1,054620,2025-04-22,6000,6060,5900,5920,35313,2025-04-22
source1,079970,2025-04-18,596,596,596,596,0,2025-04-18
source1,083310,2025-04-14,8510,8680,8440,8590,52319,2025-04-14
source1,091180,2025-04-21,17580,17720,17475,17570,249929,2025-04-21
source1,091970,2025-04-17,584,595,576,587,56629,2025-04-17
source1,174350,2025-04-17,13330,13370,13300,13370,135,2025-04-17
source1,192080,2025-04-17,53600,53700,52600,53500,45142,2025-04-18
source1,198440,2025-04-14,1148,1157,1130,1135,122816,2025-04-14
source1,234300,2025-04-22,3865,3950,3845,3945,122756,2025-04-22
source1,007540,2025-04-21,42100,42100,41450,41600,4847,2025-04-21
source1,019550,2025-04-14,720,735,703,708,797394,2025-04-14
source1,037460,2025-04-21,9750,9850,9650,9730,44235,2025-04-21
source1,060570,2025-04-16,1557,1580,1542,1563,70262,2025-04-16
source1,077360,2025-04-17,4110,4175,4020,4120,91963,2025-04-17
source1,090150,2025-04-18,837,837,817,832,44452,2025-04-18
source1,090370,2025-04-15,1346,1440,1346,1359,30746,2025-04-15
source1,208340,2025-04-14,2915,2915,2915,2915,0,2025-04-14
source1,267270,2025-04-18,63800,65500,63700,64500,96359,2025-04-21
source1,268280,2025-04-22,149100,153500,148900,151900,1859,2025-04-22
source1,281990,2025-04-15,11590,11667,11465,11667,201,2025-04-15
source1,321550,2025-04-18,3930,4125,3740,4065,184322,2025-04-18
source1,364690,2025-04-21,13635,13635,13575,13605,35,2025-04-21
source1,425040,2025-04-14,6460,6600,6420,6560,100191,2025-04-15
source1,474610,2025-04-21,5430,5450,5290,5310,383594,2025-04-21
source1,477470,2025-04-17,2030,2040,2015,2040,12093,2025-04-17
source1,491820,2025-04-14,11265,11275,10970,11230,19975,2025-04-14
source1,008350,2025-04-21,1385,1429,1376,1388,1112462,2025-04-21
source1,016450,2025-04-17,3645,3805,3615,3730,162334,2025-04-17
source1,023770,2025-04-14,3300,3300,3170,3185,19541,2025-04-14
source1,027360,2025-04-21,2295,2760,2295,2515,15678244,2025-04-21
source1,030350,2025-04-22,973,973,973,973,0,2025-04-22
source1,049430,2025-04-17,9340,9420,9220,9390,15628,2025-04-17
source1,049720,2025-04-18,9630,9770,9580,9730,33692,2025-04-18
source1,109860,2025-04-21,7800,7810,7750,7800,1673,2025-04-21
source1,140700,2025-04-15,8760,8855,8720,8840,50762,2025-04-15
source1,163730,2025-04-15,11870,12440,10860,11120,3025419,2025-04-15
source1,222800,2025-04-15,17400,17560,17100,17490,598965,2025-04-15
source1,325010,2025-04-22,13865,13900,13835,13870,462,2025-04-22
source1,341850,2025-04-16,4710,4710,4660,4685,2259,2025-04-16
source1,351320,2025-04-22,2300,2650,2300,2610,247902,2025-04-22
source1,363250,2025-04-18,10660,10910,10660,10810,17386,2025-04-18
source1,407300,2025-04-15,5760,5810,5760,5780,201,2025-04-15
source1,452250,2025-04-22,5410,5445,5365,5395,205317,2025-04-22
source1,456200,2025-04-15,58540,58540,58435,58535,7,2025-04-15
source1,461270,2025-04-18,11020,11025,11020,11025,4278,2025-04-18
source1,464600,2025-04-15,8245,8305,8180,8235,4310,2025-04-15
source1,475960,2025-04-15,17170,17900,17160,17590,339775,2025-04-15
source1,476070,2025-04-21,9125,9150,8915,8970,18902,2025-04-21
source1,488060,2025-04-22,2010,2015,2005,2015,19231,2025-04-22
source1,499150,2025-04-15,9325,9385,9270,9385,2399,2025-04-15
source1,000700,2025-04-16,5420,5460,5400,5460,13178,2025-04-16
source1,001820,2025-04-16,24000,28000,24000,24850,368784,2025-04-17
source1,002787,2025-04-14,9510,9620,9200,9200,2036,2025-04-14
source1,005389,2025-04-18,139800,143100,139200,142800,7767,2025-04-18
source1,084670,2025-04-21,6970,7070,6970,7030,697,2025-04-21
source1,117680,2025-04-16,9055,9115,8905,8905,37670,2025-04-16
source1,131180,2025-04-15,926,928,918,927,46065,2025-04-15
source1,147760,2025-04-21,2700,2770,2665,2715,8464,2025-04-21
source1,150840,2025-04-16,5850,5850,5850,5850,0,2025-04-16
source1,197140,2025-04-16,2595,2595,2520,2585,13132,2025-04-16
source1,265560,2025-04-15,7750,7790,7670,7760,12368,2025-04-15
source1,339950,2025-04-18,2825,2950,2730,2950,1166722,2025-04-18
source1,363280,2025-04-17,2035,2275,2000,2130,759760,2025-04-18
source1,441680,2025-04-16,10080,10120,9950,9980,210205,2025-04-16
source1,461490,2025-04-16,12935,12990,12920,12930,130578,2025-04-16
source1,465610,2025-04-17,17645,18015,17500,18015,66176,2025-04-17
source1,000590,2025-04-16,72200,72500,71700,72300,487,2025-04-16
source1,002810,2025-04-21,13400,13460,13340,13450,10322,2025-04-21
source1,024110,2025-04-15,14150,14360,14150,14350,818618,2025-04-15
source1,035290,2025-04-17,404,410,399,401,68624,2025-04-17
source1,038500,2025-04-18,3070,3130,3020,3115,564776,2025-04-21
